"팔남이라니, 그건 아니잖아요!","Ichinomiya Shingo, a young 25 years old, single, company worker, while thinking of tomorrow's busy working day goes to sleep. However, the moment he woke up, it was a room unknown to him. He then learned that he was inside a 6-year-old boy and had taken over his mind.Furthermore, he learned a lot from the memories of the said boy: he was born as the youngest child (8th son and 10th child) of a poor noble family living in the backcountry. Having no administrative skills, he couldn't do anything to manage the vast land his family had. Fortunately, he was blessed with a very rare talent, the talent of magic. Unfortunately, while his talent could bring prosperity to his family, in his situation it only brought disaster.Yes, this is the story of the boy, Wendelin von Benno Baumeister, opening his own path in a harsh world.Original raw",Manga,2015,"[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': 'Hachinan tte, Sore wa nai Deshou! - Hajimari no Monogatari', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'language': 'en'}, {'title': 'Le Huitième fils', 'language': 'fr'}, {'title': 'The 8th Son? Are You Kidding Me?', 'language': 'en'}, {'title': '¿El octavo hijo? ¡Eso no puede ser cierto!', 'language': 'es'}, {'title': 'Восьмой сын? Да не может этого быть!', 'language': 'ru'}, {'title': 'Восьмой сын? Я не могу этого принять!', 'language': 'ru'}, {'title': 'хатинан ттэ, сорэ ва най дэсё:', 'language': 'ru'}, {'title': 'ผมเนี่ยนะ...ชายแปด!', 'language': 'th'}, {'title': '八男って、それはないでしょう!', 'language': 'ja'}, {'title': '八男？别闹了！', 'language': 'zh-cn'}, {'title': '팔남이라니, 그건 아니잖아요!', 'language': 'ko'}]","{'volume': 14, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i454081.jpg,['KUSUMOTO Hiroki'],['Y.A'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Isekai Comic'}, {'publisher': 'Kadokawa', 'label': 'Comic Walker'}]","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Romance', 'Seinen']","[{'volume_start': '', 'anime_start': 1, 'volume_end': '', 'anime_end': 11}]"
Hadaka no Goshujin,,Manga,2017,[],"[{'title': 'Hadaka no Goshujin', 'language': 'en'}, {'title': '裸のご主人', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i252709.jpg,['Misokuro'],['Misokuro'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Evening'}]","['Comedy', 'Seinen', 'Slice of Life']",[]
Hadaka no Koibito,,Manga,2001,[],"[{'title': 'Hadaka no Koibito', 'language': 'en'}, {'title': 'ハダカの恋人', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i18200.jpg,['FUJIYA Nao'],['FUJIYA Nao'],"[{'publisher': 'Kodansha', 'label': ''}]",[],"['Comedy', 'Shoujo', 'Slice of Life']",[]
Hadaka no Oku-sama,,Manga,2007,[],"[{'title': 'Hadaka no Oku-sama', 'language': 'en'}, {'title': '裸の奥様', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['URESHINO Megumi'],['URESHINO Megumi'],"[{'publisher': 'Futabasha', 'label': ''}]","[{'publisher': 'Futabasha', 'label': 'Action PIZAZZ'}]","['Adult', 'Hentai']",[]
Hadaka no Otoko,,Manga,2003,[],"[{'title': 'Hadaka no Otoko', 'language': 'en'}, {'title': 'ハダカノオトコ', 'language': 'ja'}, {'title': '明明白白你的心', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i20421.jpg,['KURIHARA Mika'],['KURIHARA Mika'],"[{'publisher': 'Kodansha', 'label': ''}]",[],"['Romance', 'Shoujo', 'Smut']",[]
Hadaka no Mitsubachi,"Even though women may seem glamorous at first glance, they all have secrets.''--People have many different ways of falling in love. I, Chinatsu Aizawa, turned 30 years old. My job is fulfilling, and I'm not concerned about getting married. However, you can't just fall in love just because you say ``I like you'' like you did in your teens and 20s. However, I also want excitement... I think the 30's are a sensitive time for women. As for me, I know it's in bad taste, but every day I find the type of man I like and have sex with him alone. Every day is a little empty. --A heart and body that knows both the sour and the sweet, and one's own personality that cannot be changed. Love habits are also important elements that make up who you are. I think everyone has at least one love that they want to keep hidden. What kind of love are you in now?",Manga,2019,[],"[{'title': 'Hadaka no Mitsubachi', 'language': 'en'}, {'title': 'Naked Bee', 'language': 'nl'}, {'title': '裸のみつば', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i337781.jpg,['Otuko'],['Otuko'],"[{'publisher': 'Kaikan Club', 'label': ''}]","[{'publisher': 'Kaikan Club', 'label': 'Kaikan Club'}]","['Josei', 'Romance', 'Smut']",[]
Hadaka no Ou-sama,,Manga,2007,[],"[{'title': 'Hadaka no Ou-sama', 'language': 'en'}, {'title': ""The Emperor's New Clothes"", 'language': 'en'}, {'title': 'まんがグリム童話 はだかの王様', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i208184.jpg,['KAZUHASHI Tomo'],['KAZUHASHI Tomo'],"[{'publisher': 'Bunkasha', 'label': ''}]",[],"['Comedy', 'Historical', 'Horror', 'Josei']",[]
Hadaka no Ou-sama,,Manga,2011,[],"[{'title': 'Hadaka no Ou-sama', 'language': 'en'}, {'title': '裸の王様', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i299956.jpg,['AOKI Sou'],['AOKI Sou'],"[{'publisher': 'Kaiousha', 'label': ''}]","[{'publisher': 'Kaiousha', 'label': 'Gush Mania'}]","['Comedy', 'Slice of Life', 'Yaoi']",[]
Hadaka no Ouji-sama,,Manga,2011,[],"[{'title': 'Hadaka no Ouji-sama', 'language': 'en'}, {'title': ""The Prince's New Clothes"", 'language': 'en'}, {'title': 'ハダカの王子様', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i100357.png,['KABUTOMARU Chouko'],['KABUTOMARU Chouko'],"[{'publisher': 'Oakla Shuppan', 'label': ''}]",[],['Yaoi'],[]
Hadaka no Ringo,,Manga,2016,[],"[{'title': 'Hadaka no Ringo', 'language': 'en'}, {'title': 'はだかの林檎', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i242688.jpg,['YAMAZAKI Sayaka'],['YAMAZAKI Sayaka'],[],[],"['Adult', 'Romance', 'Seinen']",[]
Hadaka no Ru-kun,,Manga,2018,[],"[{'title': 'Hadaka no Ru-kun', 'language': 'en'}, {'title': 'Hadaka noru-kun', 'language': 'id'}, {'title': 'Naked Rukun', 'language': 'id'}, {'title': 'Sexy Naughty Gag Comedy', 'language': 'en'}, {'title': '裸のるーくん', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i297940.jpg,['AOME Makito'],['AOME Makito'],"[{'publisher': 'Square Enix', 'label': ''}]","[{'publisher': 'Square Enix', 'label': 'Young GanGan'}]","['Adult', 'Comedy', 'Ecchi', 'Harem', 'School Life', 'Seinen']",[]
Hadaka no Shougun!,,Manga,2002,[],"[{'title': 'Hadaka no Shougun!', 'language': 'en'}, {'title': 'ハダカの将軍!', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i72020.png,['FUJISAKI Kou'],['FUJISAKI Kou'],"[{'publisher': 'Biblos', 'label': ''}]",[],['Yaoi'],[]
Hadaka no Ouji-sama,,Manga,1994,[],"[{'title': 'Hadaka no Ouji-sama', 'language': 'en'}, {'title': 'はだかの王子さま', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194046.jpg,['NAGAIKE Tomoko'],['NAGAIKE Tomoko'],"[{'publisher': 'Akita Shoten', 'label': ''}]",[],['N/A'],[]
Hadaka no Shinjitsu,,Manga,2002,[],"[{'title': 'Hadaka no Shinjitsu', 'language': 'en'}, {'title': 'Naked Truth.', 'language': 'en'}, {'title': '裸の真実', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['HIMURA Eiji'],['HIMURA Eiji'],"[{'publisher': 'Tsukasa Shobou', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hadaka Pet no Arbeit,,Manga,2014,[],"[{'title': 'Hadaka Pet no Arbeit', 'language': 'en'}, {'title': '裸ペットのアルバイト', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i213244.jpg,['TAWAMURE Ahisa'],['TAWAMURE Ahisa'],"[{'publisher': 'Amucomi', 'label': 'digital'}, {'publisher': 'Cosmic Shuppan', 'label': 'print'}]","[{'publisher': 'Amucomi', 'label': 'Ikenai Airen'}]","['Josei', 'Romance', 'Smut']",[]
Hadaka no Shounen,,Manga,2001,[],"[{'title': 'Hadaka no Shounen', 'language': 'en'}, {'title': 'A Naked Boy', 'language': 'en'}, {'title': '裸の少年', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Hindenburg'],['Hindenburg'],"[{'publisher': 'Shobunkan', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hadakagurashi,,Manga,2024,[],"[{'title': 'Hadakagurashi', 'language': 'en'}, {'title': 'はだかぐらし', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Agata'],['Agata'],"[{'publisher': 'Kuroe Shuppan', 'label': ''}]","[{'publisher': 'Kuroe Shuppan', 'label': 'Comic Shingeki'}]","['Adult', 'Hentai', 'Lolicon']",[]
Hadaka Yori Hiwai,"1. Touching Parts2-4. Teacher's Secret5. Milky Taste6. White Christmas7-8. Raison d'etre9. Hot Springs Pretty Girls10. First Kiss Tast of the Pool11. Aki BikiniQuoted from Faytear(the scanlator)-""We get to see a story about a teacher and her student. The teacher drops off the student at his house and well I’m pretty sure you can guess what happens.""",Manga,2005,[],"[{'title': 'Hadaka Yori Hiwai', 'language': 'en'}, {'title': 'She Is Dirtier than Nakedness', 'language': 'en'}, {'title': 'ハダカより卑猥', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Mokkouyou Bond'],['Mokkouyou Bond'],"[{'publisher': 'TI Net', 'label': ''}]","[{'publisher': 'TI Net', 'label': 'Comic Mujin'}]","['Adult', 'Hentai']",[]
Hadaka Sugiru Kemono-tachi,,Manga,2019,[],"[{'title': 'Hadaka Sugiru Kemono-tachi', 'language': 'en'}, {'title': '裸すぎる獣たち', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i321681.jpg,['HIROOKA Shinya'],['HIROOKA Shinya'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Shounen Magazine R'}]","['Action', 'Martial Arts', 'School Life', 'Shounen', 'Sports']",[]
Hadakanbo,,Manga,2000,[],"[{'title': 'Hadakanbo', 'language': 'en'}, {'title': 'はだかんぼ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['TOMU Tamio'],['TOMU Tamio'],"[{'publisher': 'Osu Shuppan', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hadashi de Bara o Fume,"From Viz:Poor Sumi Kitamura… Her irresponsible older brother Eisuke keeps bringing home orphans for her to take care of even though they can barely afford their own basic needs! Just when Sumi's financial problems become dire, wealthy Soichiro Ashida enters her life with a bizarre proposition: he'll provide her with the money she so desperately needs if she agrees to marry him. But can Sumi fool high society into thinking she's a proper lady? Moreover, is it worth giving up everything for this sham of a marriage?",Manga,2008,[],"[{'title': 'Hadashi de Bara o Fume', 'language': 'en'}, {'title': 'Güllere Çıplak Ayakla Basmak', 'language': 'tr'}, {'title': 'Hadashi de Bara wo Fume', 'language': 'so'}, {'title': 'Hoa hồng tình yêu', 'language': 'vi'}, {'title': 'Hoa hồng đỏ', 'language': 'vi'}, {'title': 'Stepping on Roses', 'language': 'en'}, {'title': 'Stepping on Roses Barefoot', 'language': 'en'}, {'title': 'نمشي على الورود حفاة الأقدام', 'language': 'ar'}, {'title': 'ก้าวย่างบนดอกกุหลาบ', 'language': 'th'}, {'title': '玫瑰契約', 'language': 'ko'}, {'title': '裸足でバラを踏め', 'language': 'ja'}]","{'volume': 9, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i257186.jpg,['UEDA Rinko'],['UEDA Rinko'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Margaret'}]","['Drama', 'Historical', 'Romance', 'Shoujo']",[]
Hadakeru Kaibutsu,"From Must Be Endless:Up until now it's always been cute girls laughing by my side. But now, sleeping next to me, full of faults, smelling of tobacco, a lascivious man. But he's the cutest of them all...(Continuation of Shuuna and Hayashida's story. First chapter timeline is paralel with Renai-rubi no Tadashii Furikata, but told from Shuuna's POV)---Multi-work series; Suggested reading order:1: Sabita Yoru Demo Koi wa Sasayaku - Main Story2: Azami - Prequel to Main Story & Sequels3: Renai Rubi no Tadashii Furikata - Sequel #14: Narrow Place Collection - Side story to Sequel #15: Hadakeru Kaibutsu - Sequel #26: Sweet Sweet - Extra Illustrations",Manga,2015,"[{'title': 'Renai Rubi no Tadashii Furikata', 'type': 'Manga', 'relation': 'Prequel'}, {'title': 'Narrow - Place Collection', 'type': 'Manga', 'relation': 'Side Story'}]","[{'title': 'Hadakeru Kaibutsu', 'language': 'en'}, {'title': 'Obsessed with a naked Monster', 'language': 'en'}, {'title': 'Potwór obnażony', 'language': 'pl'}, {'title': 'The Monster Exposed', 'language': 'en'}, {'title': 'The Unraveling Monster', 'language': 'en'}, {'title': 'はだける怪物', 'language': 'ja'}, {'title': '坦露的怪物', 'language': 'ko'}, {'title': '裸裎的怪物', 'language': 'ko'}, {'title': '解放的怪物', 'language': 'ko'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i303192.jpg,['OGERETSU Tanaka'],['OGERETSU Tanaka'],"[{'publisher': 'Shinshokan', 'label': ''}]","[{'publisher': 'Shinshokan', 'label': 'Cheri +'}]","['Drama', 'Psychological', 'Romance', 'Yaoi']",[]
Hadakanbo Dakko,1. FAMILY PLAY2. FAMILY PLAY 23. FAMILY PLAY 34. Stopwatcher Tomekichi5. Stopwatcher Tomekichi 1.56. Stopwatcher Tomekichi 27. SWAP INCEST8. Delivery Doctor9. HairTrigger 2019,Manga,2019,[],"[{'title': 'Hadakanbo Dakko', 'language': 'en'}, {'title': 'Naked Young Girl Cuddles', 'language': 'en'}, {'title': 'Naked Young Girl Hug', 'language': 'en'}, {'title': 'はだかんぼ抱っこ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['MINION'],['MINION'],"[{'publisher': 'Hit Shuppansha', 'label': ''}]","[{'publisher': 'Hit Shuppansha', 'label': 'Comic Aun'}, {'publisher': 'Hit Shuppansha', 'label': 'Shoujo Kumikyoku'}]","['Adult', 'Hentai', 'Lolicon']",[]
Hadashi de Last Dance,,Manga,1984,[],"[{'title': 'Hadashi de Last Dance', 'language': 'en'}, {'title': '裸足でラスト・ダンス', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194100.jpg,['HANISHINA Ryouko'],['HANISHINA Ryouko'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['Shoujo'],[]
Hadashi no Bun,,Manga,1971,[],"[{'title': 'Hadashi no Bun', 'language': 'en'}, {'title': 'はだしのブン', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i154256.jpg,['NAGASHIMA Shinji'],['NAGASHIMA Shinji'],"[{'publisher': 'Asahi Sonorama', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Shuukan Shounen Sunday'}]",['Shounen'],[]
Hadashi de Waltz wo,"Novelist Azuma is pretty love-shy, especially when it comes to the part-timer, Katsumi, at his publishing house. When Azuma professes his love a little too forcefully one night, he fears he has ruined his chances completely. But fate is a fickle mistress, and two years later, Katsumi turns up at his door...",Manga,2006,[],"[{'title': 'Hadashi de Waltz wo', 'language': 'en'}, {'title': 'Barefoot Waltz', 'language': 'en'}, {'title': 'With Naked Foot Waltz', 'language': 'en'}, {'title': '不穿鞋的华尔兹', 'language': 'zh-cn'}, {'title': '裸足でワルツを', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i260024.png,['MIIKE Romuco'],['MIIKE Romuco'],"[{'publisher': 'Houbunsha', 'label': ''}]","[{'publisher': 'Houbunsha', 'label': 'Hanaoto'}]","['Drama', 'Romance', 'Slice of Life', 'Yaoi']",[]
Hadashi Meguri,"From Raw Manga Scans:The first three stories are about two sisters, Komaki and Komachi, and a little girl spirit guarding their family. (1) The first story is about Komaki. She's slighly loud-mouthed and makes it very obvious to everyone that she likes Sakuchi. When she becomes conscious of the fact that she may be a bother to him, Komaki avoids him. Sakuchi notices that things become very quiet and thinks that something is missing. Under the guidance of the spirit, what'll happen between the two? (2) The 2nd story is about friendships between girls and how things can become a little hostile when a boy enters the picture. What will happen to Komachi and Shio's friendship?",Manga,1997,[],"[{'title': 'Hadashi Meguri', 'language': 'en'}, {'title': 'Barefoot', 'language': 'en'}, {'title': '裸足めぐり', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i300137.jpg,['MOCHIZUKI Karin'],['MOCHIZUKI Karin'],"[{'publisher': 'Hakusensha', 'label': ''}]","[{'publisher': 'Hakusensha', 'label': 'Hana to Yume'}]","['Fantasy', 'Romance', 'Shoujo']",[]
Hadashi no Mademoiselle,,Manga,1969,[],"[{'title': 'Hadashi no Mademoiselle', 'language': 'en'}, {'title': 'Barefoot Mademoiselle', 'language': 'en'}, {'title': 'はだしのマドモアゼル', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i161244.jpg,['ICHIJO Yukari'],['ICHIJO Yukari'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Ribon'}]",['Shoujo'],[]
Hadashi no Kimera,,Manga,2012,[],"[{'title': 'Hadashi no Kimera', 'language': 'en'}, {'title': 'Hadashi no Chimera', 'language': 'pt'}, {'title': '裸足のキメラ', 'language': 'ja'}, {'title': '赤腳的奇美拉', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i133140.png,['OOKITA Hiroko'],['OOKITA Hiroko'],"[{'publisher': 'Ichijinsha', 'label': ''}]","[{'publisher': 'Ichijinsha', 'label': 'Comic Yuri Hime'}]","['Drama', 'Romance', 'Shoujo Ai']",[]
맨발의 겐,"Barefoot Gen recounts the bombing of Hiroshima from the perspective of a young boy, Gen, and his family. But the book's themes (the physical and psychological damage ordinary people suffer from war's realities) ring chillingly true today. Gen and his family have long been struggling without much food, money or medicine, but despite hardships, they try to maintain a semblance of normal life. The adults are exhausted and near despair; the children take air raids and starvation more or less in stride. Nakazawa, a Hiroshima survivor, effectively portrays the strain of living in this environment and shows how efforts to stay upbeat in dire circumstances sometimes manifest as manic, irrational humor. The story offers some optimism: characters perform acts of self-sacrifice for the sake of neighbors and loved ones (e.g., when Gen's pregnant mother becomes ill from malnutrition, he and his brother pose as orphans and perform in the streets, throwing the money over the walls of their home so they won't get caught). Underneath this can-do attitude are the parents' deep guilt and sense of helplessness. When the children clamor ecstatically over a scrap of food, the parents dissolve in shame and grief. The art is sharply drawn and expressive, and the narrative has such a natural rhythm, it's easy to get pulled into the family's life, making the cataclysm readers know awaits them all the more real, intimate and difficult to take. Despite its harrowing nature, this work is invaluable for the lessons it offers in history, humanity and compassion.",Manga,1972,"[{'title': 'Ore wa Mita', 'type': 'Manga', 'relation': 'Alternate Story'}]","[{'title': 'Hadashi no Gen', 'language': 'en'}, {'title': 'Barefoot Gen', 'language': 'en'}, {'title': 'Barefoot Gen: A Cartoon Story of Hiroshima', 'language': 'en'}, {'title': 'Barfuß durch Hiroshima', 'language': 'de'}, {'title': 'Gen Pés Descalços', 'language': 'ca'}, {'title': 'Gen Si Kaki Ayam', 'language': 'tr'}, {'title': 'Hiroshima', 'language': 'sq'}, {'title': 'Hiroshiman poika', 'language': 'fi'}, {'title': 'Hiroszima 1945', 'language': 'hr'}, {'title': 'Pies Descalzos', 'language': 'es'}, {'title': 'Yalın Ayak Gen', 'language': 'tr'}, {'title': 'Босоногий Гэн', 'language': 'ru'}, {'title': 'เก็น เจ้าหนูสู้ชีวิต', 'language': 'th'}, {'title': 'はだしのゲン', 'language': 'ja'}, {'title': '맨발의 겐', 'language': 'ko'}]","{'volume': 7, 'status': 'Complete) (Chuokoron-Shinsha 1998'}",https://cdn.mangaupdates.com/image/i211872.jpg,['NAKAZAWA Keiji'],['NAKAZAWA Keiji'],"[{'publisher': 'Choubunsha', 'label': ''}, {'publisher': 'Chuokoron-Shinsha', 'label': '2nd Print'}, {'publisher': 'Shueisha', 'label': '1st Print'}]","[{'publisher': 'Shueisha', 'label': 'Shuukan Shounen Jump'}]","['Drama', 'Historical', 'Mature', 'Psychological', 'Shounen', 'Slice of Life', 'Tragedy']",[]
Hadashi no Mei,,Manga,1974,[],"[{'title': 'Hadashi no Mei', 'language': 'en'}, {'title': 'Barefoot Mei', 'language': 'en'}, {'title': '裸足のメイ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i163156.jpg,['FUKUHARA Hiroko'],['FUKUHARA Hiroko'],"[{'publisher': 'Shueisha', 'label': ''}]",[],"['Drama', 'Shoujo', 'Shoujo Ai']",[]
Hadashi no Princess,,Manga,1966,[],"[{'title': 'Hadashi no Princess', 'language': 'en'}, {'title': 'Barefoot Princess', 'language': 'en'}, {'title': 'はだしのプリンセス', 'language': 'ja'}]","{'volume': 1, 'status': 'Bunkoban, by Shueisha'}",https://cdn.mangaupdates.com/image/i194103.jpg,['WATANABE Masako'],['WATANABE Masako'],"[{'publisher': 'Homesha', 'label': ''}, {'publisher': 'Wakagi Shobou', 'label': '1970'}]",[],['Shoujo'],[]
Hadashi no shinwa,,Manga,1984,[],"[{'title': 'Hadashi no shinwa', 'language': 'en'}, {'title': '裸足の神話', 'language': 'ja'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194104.jpg,[],['ARISAKA Kuni'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Betsucomi'}]","['Romance', 'Shoujo']",[]
Hadashi no Okuman Chouja,"Ever since the loss of their parents eight years ago, Susannah has worked herself to the bone looking after her younger sister Jackie. But she has a dream: to live out her late parents? unrealized plans of traveling to Paris. To see the world. Now Jackie is about to get married, Susannah has the money saved up, and her travel plans are set. Enter a man dreamy enough to overshadow even Paris?Kane, the groom?s best friend. Kane asks Susannah to show him how to live a ?normal? life during his vacation. He?s never felt grass beneath his bare feet before, never gone fishing. Who is he, really? And what?s Susannah to do when she finds herself falling for him?",Manga,2011,[],"[{'title': 'Hadashi no Okuman Chouja', 'language': 'en'}, {'title': 'The Bridesmaid and the Billionaire', 'language': 'en'}, {'title': '裸足の億万長者', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i137843.png,['MIYAGI Akiko'],['Shirley Jump'],"[{'publisher': 'Harlequin', 'label': ''}]",[],"['Josei', 'Romance']",[]
Hadashi no Seimei,"""I have no romantic feelings for Asuka Sakurai.I never thought it was special, and I never regretted it.Except for that one moment 10 years ago.""This is a story of imagination and choices surrounding those who do not fall in love, depicted through the friendship of four men and women.",Manga,2022,[],"[{'title': 'Hadashi no Seimei', 'language': 'en'}, {'title': '裸足のせいめい', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i428716.jpg,['Eita (II)'],['Eita (II)'],"[{'publisher': 'ASCII Media Works', 'label': ''}]","[{'publisher': 'ASCII Media Works', 'label': 'Comic It'}]","['Drama', 'Josei', 'Romance', 'School Life']",[]
Hadashi no Super Girl,,Manga,1981,[],"[{'title': 'Hadashi no Super Girl', 'language': 'en'}, {'title': '裸足のスーパーギャル', 'language': 'ja'}, {'title': '裸足のスーパーギャル 1~最新巻', 'language': 'ja'}]","{'volume': 6, 'status': 'Complete'}",,['HITAKA Ryou'],['HITAKA Ryou'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['Sports'],[]
맨발의 천사,"One day, shoemaker Turner meets a mysterious young man, Benny, who calls himself an “ex-angel”. Worried about Benny going barefoot, Turner decided to make shoes for him. Moreover, because the production will take several months, Benny decides to live in Turner’s house.[ The first love of a pure angel, set in modern day England. ]Official Translations: German, French, KoreanOriginal Japanese",Manga,2020,[],"[{'title': 'Hadashi no Tenshi', 'language': 'en'}, {'title': 'Barefoot Angel', 'language': 'en'}, {'title': ""L'ange aux pieds nus"", 'language': 'fr'}, {'title': 'はだしの天使', 'language': 'ja'}, {'title': '맨발의 천사', 'language': 'ko'}]","{'volume': 3, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i440074.jpg,['NONOMIYA Ito'],['NONOMIYA Ito'],"[{'publisher': 'Libre', 'label': ''}]","[{'publisher': 'Libre', 'label': 'Magazine Be x Boy'}]","['Fantasy', 'Romance', 'Slice of Life', 'Yaoi']",[]
하데스 님의 무자비한 결혼,"""Hades' Ruthless Marriage"" is a ""Greek mythical love comedy"" about the king of the underworld, Hades. He was arrowed by Eros right in the middle of his forehead, and the only way to get rid of the arrow is to fall in love. To avoid love, he lives with a blindfold on his eyes, because if he looks at someone he will fall in love. Men and women dispute to try to take Hades and marry the forever single king.Official English Release: Yen Press",Manga,2020,[],"[{'title': 'Hades-sama no Mujihi na Konin', 'language': 'en'}, {'title': ""Hades' Ruthless Marriage"", 'language': 'en'}, {'title': 'Lord Hades’s Ruthless Marriage', 'language': 'en'}, {'title': ""The Mercilessness of Hades' Marriage"", 'language': 'en'}, {'title': 'The Ruthless Marriage of Hades', 'language': 'en'}, {'title': 'ハデスさまの無慈悲な婚姻', 'language': 'ja'}, {'title': '哈迪斯大人的无情婚姻', 'language': 'zh-cn'}, {'title': '하데스 님의 무자비한 결혼', 'language': 'ko'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i436405.jpg,['UEJI Yuho'],['UEJI Yuho'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Asuka'}]","['Comedy', 'Drama', 'Fantasy', 'Historical', 'Romance', 'Shoujo', 'Supernatural']",[]
Hade Hendricks Monogatari,,Manga,2002,[],"[{'title': 'Hade Hendricks Monogatari', 'language': 'en'}, {'title': 'Hader Hendrix Monogatari', 'language': 'sv'}, {'title': 'ハデー・ヘンドリックスものがたり', 'language': 'ja'}, {'title': 'ハデー・ヘンドリックス物語', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i211594.jpg,['Man Gatarou'],['Man Gatarou'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Shuukan Young Jump'}]","['Adult', 'Comedy', 'Seinen']",[]
